price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,state,city,lat,lon,county
1670000.0,5.0,5.0,,,single_family,,3982.0,,,NY,Via Privata Gulio Perticari,,,
345000.0,,,,,multi_family,4092.0,2128.0,1860.0,411 W Buffalo St,NY,Ithaca,42.440879,-76.504683,Tompkins
124900.0,2.0,1.0,1.0,1.0,townhomes,2614.0,799.0,1972.0,150 Milrace Dr,NY,East Rochester,43.120287,-77.484955,Monroe
1348000.0,3.0,3.0,,,single_family,6600.0,,1945.0,53-11 250th St,NY,Little Neck,40.761862,-73.731477,Queens
375000.0,2.0,1.0,,,coop,,1100.0,1925.0,402 Bay Ridge Pkwy Apt 42,NY,Brooklyn,,,Kings
279000.0,3.0,1.0,,2.0,single_family,,,,45 Sycamore Ave,NY,Hempstead,40.696888,-73.62746,Nassau
219900.0,3.0,2.0,3.0,2.0,single_family,126324.0,2116.0,1995.0,2430 Emerson Rd,NY,Weedsport,43.088092,-76.58001,Cayuga
174900.0,4.0,2.0,2.0,2.0,single_family,108900.0,1800.0,1971.0,4758 Cory Corners Rd,NY,Marion,43.174832,-77.231626,Wayne
149999.0,3.0,1.0,2.0,1.0,single_family,9361.0,1530.0,1850.0,4251 S Park Ave,NY,Blasdell,42.781294,-78.82417,Erie
149000.0,2.0,1.0,,,single_family,100188.0,1368.0,1900.0,191 Weeks Rd,NY,Hartwick,42.66424,-75.054052,Otsego
204900.0,3.0,2.0,2.0,2.0,single_family,22425.0,1826.0,1980.0,8105 McCamidge Dr,NY,Cicero,43.159036,-76.103536,Onondaga
229000.0,3.0,2.0,1.0,,single_family,10454.0,2680.0,1947.0,349 Glen Ave,NY,Elmira,42.084325,-76.850974,Chemung
89900.0,3.0,2.0,,2.0,single_family,4792.0,1280.0,1990.0,18 Thomas St,NY,Rochester,43.172549,-77.604197,Monroe
479900.0,4.0,3.0,2.0,2.0,single_family,82328.0,3574.0,2007.0,100 Canterbury Way,NY,Central Square,43.288174,-76.173144,Oswego
199999.0,6.0,2.0,,,multi_family,5227.0,,1989.0,825 Hamilton St,NY,Schenectady,42.80551,-73.939096,Schenectady
224900.0,3.0,2.0,4.0,2.0,single_family,370260.0,1545.0,1972.0,1739 Nys Route 12,NY,Binghamton,42.194376,-75.878284,Broome
174900.0,4.0,2.0,1.0,,mobile,321037.0,2016.0,2000.0,508 Perry Rd,NY,Binghamton,42.243224,-75.954844,Broome
398800.0,3.0,1.0,,2.0,single_family,8276.0,1112.0,1925.0,16 Morton St,NY,Garnerville,41.203674,-73.996433,Rockland
199900.0,3.0,2.0,2.0,2.0,single_family,7662.0,1312.0,1951.0,812 Delaware Rd,NY,Buffalo,42.983592,-78.870786,Erie
825000.0,3.0,2.0,2.0,2.0,single_family,15246.0,1975.0,1949.0,25 E Willow St,NY,Beacon,41.511792,-73.969812,Dutchess
97000.0,3.0,2.0,1.0,,single_family,4792.0,1848.0,1914.0,42 Phillips St,NY,Amsterdam,42.949421,-74.203885,Montgomery
337000.0,3.0,1.0,,,single_family,8276.0,,1977.0,126 Bellport Ave,NY,Bellport,40.770201,-72.940704,Suffolk
175000.0,2.0,1.0,2.0,,single_family,12632.0,1296.0,1955.0,159 Third Ave,NY,Fonda,42.955028,-74.293887,Montgomery
99900.0,4.0,2.0,1.0,2.0,single_family,3088.0,1627.0,1910.0,901 Highland St,NY,Syracuse,43.064384,-76.141872,Onondaga
69900.0,3.0,1.0,2.0,2.0,single_family,6125.0,1113.0,1900.0,104 Avenue D,NY,Rochester,43.180477,-77.621965,Monroe
699000.0,4.0,3.0,5.0,,single_family,815879.0,3050.0,2003.0,306 Taylor Rd,NY,Exeter,42.804,-75.02837,Otsego
329900.0,3.0,3.0,2.0,,single_family,20038.0,1995.0,1990.0,34 Hemlock Dr,NY,Greenfield,43.095873,-73.906465,Saratoga
249900.0,4.0,2.0,2.0,,single_family,115434.0,1716.0,1990.0,895 High St,NY,Thurman,43.478907,-73.886845,Warren
285000.0,3.0,2.0,,,single_family,779724.0,1824.0,1980.0,549 N Street Rd,NY,Argyle,43.23495,-73.399139,Washington
169900.0,4.0,2.0,,3.0,single_family,5680.0,2067.0,1920.0,352-354 Ravenwood Ave,NY,Rochester,43.13893,-77.65587,Monroe
199900.0,3.0,2.0,1.0,1.0,single_family,13547.0,1664.0,1928.0,8538 Clark Mills Rd,NY,Whitesboro,43.105797,-75.322551,Oneida
50000.0,3.0,1.0,2.0,1.0,single_family,5249.0,960.0,1920.0,1125 Fairfield Ave,NY,Niagara Falls,43.111709,-79.048081,Niagara
429900.0,4.0,3.0,2.0,2.0,single_family,17860.0,2080.0,1968.0,63 Eisenhower Dr,NY,Middletown,41.46885,-74.419122,Orange
510000.0,4.0,2.0,1.0,,single_family,17860.0,2148.0,1977.0,7 Bemis Heights Rd,NY,Saratoga Springs,43.07967,-73.751908,Saratoga
127000.0,1.0,1.0,,,coop,,750.0,1950.0,766 Bronx River Rd Apt B16,NY,Bronxville,40.936062,-73.831223,Westchester
395000.0,4.0,3.0,2.0,,single_family,28314.0,2040.0,1965.0,9 Tanglewood Dr,NY,South Glens Falls,43.273444,-73.654875,Saratoga
249900.0,3.0,2.0,1.0,2.0,single_family,21780.0,1336.0,1940.0,2930 Brighton Henrietta Town Line Rd,NY,Rochester,43.095774,-77.597895,Monroe
2599000.0,5.0,5.0,,,single_family,24829.0,4050.0,2022.0,8 Sweetgrass Rd,NY,Westhampton,40.815228,-72.67879,Suffolk
195000.0,3.0,2.0,1.0,1.0,single_family,11400.0,1336.0,1960.0,14 Bayberry Cir,NY,Liverpool,43.137364,-76.223971,Onondaga
624900.0,4.0,4.0,2.0,2.0,single_family,16553.0,3702.0,2017.0,84 Arrowood Ln,NY,Orchard Park,42.747001,-78.755883,Erie
545000.0,5.0,2.0,2.0,2.0,single_family,52272.0,3288.0,1911.0,29 Ferris Ln,NY,Poughkeepsie,41.686388,-73.917702,Dutchess
385000.0,3.0,3.0,2.0,2.0,single_family,6534.0,2738.0,1987.0,5997 Bay Hill Cir,NY,Jamesville,43.024592,-76.095713,Onondaga
658755.0,4.0,3.0,3.0,,single_family,33106.0,2714.0,2022.0,18 Dutch Ln,NY,Halfmoon,42.897501,-73.757943,Saratoga
548999.0,2.0,2.0,1.0,3.0,townhomes,960.0,2000.0,1987.0,32 Teri Ct,NY,Staten Island,40.590155,-74.151892,Richmond
1650000.0,1.0,2.0,,,condos,,,1985.0,188 E 64th St Apt 1702,NY,New York,40.764499,-73.964841,New York
498000.0,0.0,0.0,,,condos,,,,2801 E 28th St,NY,Brooklyn,40.584634,-73.940618,Kings
1100000.0,1.0,1.0,,,condos,,,1978.0,220 E 65th St Apt 11D,NY,New York,40.764441,-73.962655,New York
339000.0,1.0,1.0,,,coop,,810.0,,302 96th St Apt 2G,NY,Brooklyn,40.615993,-74.03364,Kings
