,price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,state,city,county,price_per_sqft
347,499000.0,3.0,2.0,2.0,1.0,single_family,396832.0,2000.0,1987,11 Sand Hill Rd,NY,Dover Plains,Dutchess,249.5
348,498000.0,5.0,4.0,2.0,2.0,single_family,129809.0,2450.0,1962,7179 Frank Long Rd,NY,Jamesville,Onondaga,203.26530612244898
349,429000.0,3.0,2.0,0.0,2.0,single_family,6534.0,1888.0,1860,10 N Church St,NY,Athens,Greene,227.22457627118644
350,580000.0,3.0,4.0,0.0,2.0,single_family,365033.0,3486.0,2009,2345 Route 26,NY,Climax,Greene,166.3798049340218
351,269000.0,5.0,2.0,1.0,2.0,single_family,4000.0,1571.0,1968,143 Harvard St,NY,Hempstead,Nassau,171.2285168682368
352,119900.0,5.0,2.0,2.0,2.0,single_family,12288.0,2184.0,1897,64 Cushing St,NY,Fredonia,Chautauqua,54.8992673992674
353,254900.0,3.0,2.0,1.0,2.0,single_family,4792.0,1624.0,1930,1605 Rutgers St,NY,Schenectady,Schenectady,156.95812807881774
354,296777.0,5.0,2.0,2.0,2.0,single_family,12632.0,2138.0,1970,142 Brooklane Dr,NY,Williamsville,Erie,138.810570626754
355,269900.0,4.0,2.0,2.0,1.0,single_family,11901.0,2103.0,1967,26 Labelle Ter,NY,Amherst,Erie,128.340466000951
356,799000.0,3.0,3.0,3.0,2.0,single_family,291852.0,2216.0,2022,Decker Rd,NY,Wallkill,Ulster,360.55956678700363
357,254900.0,6.0,2.0,0.0,2.0,multi_family,2701.0,2536.0,1900,395 Fargo Ave,NY,Buffalo,Erie,100.51261829652996
358,1200000.0,2.0,2.0,0.0,2.0,single_family,435600.0,1740.0,1956,89 S Elroy Dr,NY,Montauk,Suffolk,689.6551724137931
359,350000.0,2.0,3.0,0.0,2.0,townhomes,1698840.0,1300.0,1985,12 Spring Meadow Ln,NY,Peekskill,Westchester,269.2307692307692
360,625000.0,4.0,2.0,1.0,2.0,single_family,4000.0,1512.0,1940,23 Olsen St,NY,Valley Stream,Nassau,413.35978835978835
361,1438000.0,4.0,3.0,2.0,2.0,single_family,10454.0,1740.0,1950,8 Old Farm Rd,NY,Great Neck,Nassau,826.4367816091954
362,619990.0,3.0,2.0,0.0,2.0,single_family,2556.0,1740.0,1950,257-33 149th Rd,NY,Rosedale,Queens,356.31609195402297
363,655000.0,4.0,3.0,1.0,3.0,single_family,4457.0,1800.0,1945,130-01 244th St,NY,Rosedale,Queens,363.8888888888889
364,950000.0,2.0,3.0,0.0,1.0,condos,10550.0,1489.0,2008,5 Renaissance Sq Apt 18A,NY,White Plains,Westchester,638.0120886501007
365,639000.0,3.0,3.0,0.0,1.0,single_family,10890.0,1740.0,1955,285 Sixth Ave,NY,Saint James,Suffolk,367.2413793103448
366,699999.0,3.0,2.0,0.0,1.0,single_family,6100.0,1740.0,1951,34 Eldorado Blvd,NY,Plainview,Nassau,402.298275862069
